			   7.0M Z=0.02 VW-M 		
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   si30    9.983E-05  2.723E-04   1.983E-01   1.068E-04  2.793E-04   2.092E-01
    p31    2.145E-05  6.713E-05   1.672E-01   2.318E-05  6.885E-05   1.782E-01
    s32   -6.187E-05  3.337E-03  -8.005E-03  -6.597E-05  3.332E-03  -8.539E-03
    s33    6.755E-07  2.835E-05   1.045E-02   7.039E-07  2.837E-05   1.089E-02
    s34   -4.559E-05  1.338E-03  -1.457E-02  -4.814E-05  1.336E-03  -1.541E-02
    s35    5.076E-05  5.076E-05   0.000E+00   5.367E-05  5.367E-05   0.000E+00
   fe54   -2.237E-05  4.957E-04  -1.920E-02  -2.344E-05  4.946E-04  -2.013E-02
   fe55    1.284E-06  1.284E-06   0.000E+00   1.282E-06  1.282E-06   0.000E+00
   fe56   -3.065E-04  8.184E-03  -1.599E-02  -3.234E-04  8.167E-03  -1.689E-02
   fe57    9.284E-06  2.166E-04   1.900E-02   9.074E-06  2.164E-04   1.858E-02
   fe58    9.271E-05  1.196E-04   6.486E-01   9.517E-05  1.220E-04   6.575E-01
   fe60    7.882E-05  7.882E-05   0.000E+00   8.577E-05  8.577E-05   0.000E+00
   co59    4.164E-05  6.730E-05   4.187E-01   4.319E-05  6.885E-05   4.286E-01
   ni58   -1.552E-05  3.526E-04  -1.873E-02  -1.628E-05  3.519E-04  -1.967E-02
   ni60    1.608E-05  1.617E-04   4.546E-02   1.605E-05  1.616E-04   4.538E-02
   ni61    1.473E-04  1.537E-04   1.380E+00   1.566E-04  1.630E-04   1.405E+00
   ni62   -2.056E-05  1.371E-07  -2.179E+00  -2.056E-05  1.371E-07  -2.179E+00
      g    1.379E-05  1.417E-05   1.576E+00   1.508E-05  1.546E-05   1.614E+00
			   8.0M Z=0.02 VW-M
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -7.133E-01  4.161E+00  -6.874E-02  -7.236E-01  4.151E+00  -6.982E-02
    he3    2.643E-06  2.643E-06   0.000E+00   2.643E-06  2.643E-06   0.000E+00
    he4    6.639E-01  2.565E+00   1.300E-01   6.682E-01  2.569E+00   1.308E-01
    li7   -7.305E-08  9.981E-10  -1.870E+00  -7.305E-08  9.981E-10  -1.870E+00
    c12   -1.533E-02  8.308E-03  -4.541E-01  -9.882E-03  1.376E-02  -2.352E-01
    c13    1.080E-03  1.364E-03   6.815E-01   1.075E-03  1.359E-03   6.799E-01
    n14    8.223E-02  8.949E-02   1.091E+00   8.199E-02  8.924E-02   1.090E+00
    n15   -2.528E-05  3.391E-06  -9.272E-01  -2.529E-05  3.386E-06  -9.278E-01
    o16   -2.272E-02  4.313E-02  -1.838E-01  -2.255E-02  4.330E-02  -1.821E-01
    o17    1.620E-04  1.888E-04   8.479E-01   1.616E-04  1.884E-04   8.470E-01
    o18   -1.465E-04  2.804E-06  -1.726E+00  -1.465E-04  2.804E-06  -1.726E+00
    f19   -3.229E-06  6.321E-07  -7.859E-01  -2.907E-06  9.538E-07  -6.072E-01
   ne20    1.059E-04  1.262E-02   3.634E-03   1.158E-04  1.263E-02   3.977E-03
   ne21   -2.964E-05  2.291E-06  -1.144E+00  -2.808E-05  3.850E-06  -9.188E-01
   ne22    1.262E-03  2.267E-03   3.533E-01   1.345E-03  2.350E-03   3.690E-01
   na23    1.073E-04  3.824E-04   1.430E-01   1.109E-04  3.860E-04   1.471E-01
   mg24   -2.157E-03  1.877E-03  -3.324E-01  -2.153E-03  1.881E-03  -3.314E-01
   mg25    2.806E-03  3.338E-03   7.976E-01   2.952E-03  3.484E-03   8.163E-01
   mg26    1.787E-03  2.396E-03   5.948E-01   2.191E-03  2.800E-03   6.624E-01
   al26    6.312E-05  6.312E-05   0.000E+00   6.295E-05  6.295E-05   0.000E+00
   al27    5.906E-05  5.050E-04   5.399E-02   6.850E-05  5.145E-04   6.203E-02
   si28    8.605E-05  5.214E-03   7.201E-03   9.694E-05  5.225E-03   8.107E-03
   si29    2.591E-05  2.948E-04   3.993E-02   2.992E-05  2.988E-04   4.579E-02
   si30    5.079E-05  2.354E-04   1.055E-01   5.949E-05  2.441E-04   1.213E-01
    p31    1.044E-05  5.933E-05   8.404E-02   1.245E-05  6.134E-05   9.851E-02
    s32   -3.055E-05  3.607E-03  -3.688E-03  -3.555E-05  3.602E-03  -4.291E-03
    s33    3.647E-07  2.998E-05   5.291E-03   4.106E-07  3.003E-05   5.954E-03
    s34   -2.258E-05  1.458E-03  -6.699E-03  -2.577E-05  1.455E-03  -7.649E-03
    s35    2.511E-05  2.511E-05   0.000E+00   2.872E-05  2.872E-05   0.000E+00
   fe54   -1.173E-05  5.427E-04  -9.316E-03  -1.309E-05  5.413E-04  -1.040E-02
   fe55    1.558E-06  1.558E-06   0.000E+00   1.554E-06  1.554E-06   0.000E+00
   fe56   -1.500E-04  8.937E-03  -7.252E-03  -1.712E-04  8.916E-03  -8.286E-03
   fe57    5.687E-06  2.276E-04   1.096E-02   5.521E-06  2.274E-04   1.065E-02
   fe58    4.325E-05  7.199E-05   3.988E-01   4.697E-05  7.571E-05   4.207E-01
   fe60    4.371E-05  4.371E-05   0.000E+00   5.230E-05  5.230E-05   0.000E+00
   co59    2.027E-05  4.774E-05   2.401E-01   2.257E-05  5.003E-05   2.605E-01
   ni58   -7.802E-06  3.862E-04  -8.711E-03  -8.766E-06  3.853E-04  -9.796E-03
   ni60    5.303E-06  1.611E-04   1.451E-02   5.518E-06  1.613E-04   1.509E-02
   ni61    8.239E-05  8.925E-05   1.114E+00   9.296E-05  9.981E-05   1.163E+00
   ni62   -2.201E-05  1.436E-07  -2.188E+00  -2.201E-05  1.436E-07  -2.188E+00
      g    6.349E-06  6.752E-06   1.225E+00   7.761E-06  8.164E-06   1.307E+00
		           8.5M Z=0.02 VW-M 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.968E-01  4.479E+00  -6.282E-02  -7.077E-01  4.468E+00  -6.388E-02
    he3    6.968E-06  6.968E-06   0.000E+00   6.964E-06  6.964E-06   0.000E+00
    he4    6.762E-01  2.695E+00   1.254E-01   6.810E-01  2.700E+00   1.262E-01
    li7   -2.960E-08  4.903E-08  -2.051E-01  -2.960E-08  4.903E-08  -2.052E-01
    c12   -1.837E-02  6.728E-03  -5.718E-01  -1.278E-02  1.232E-02  -3.093E-01
    c13    7.989E-04  1.100E-03   5.622E-01   7.945E-04  1.096E-03   5.605E-01
    n14    5.335E-02  6.105E-02   8.990E-01   5.318E-02  6.089E-02   8.979E-01
    n15   -2.696E-05  3.487E-06  -9.411E-01  -2.697E-05  3.483E-06  -9.417E-01
    o16   -1.712E-02  5.280E-02  -1.220E-01  -1.698E-02  5.294E-02  -1.208E-01
    o17    2.635E-04  2.920E-04   1.011E+00   2.629E-04  2.914E-04   1.010E+00
    o18   -1.556E-04  2.976E-06  -1.727E+00  -1.556E-04  2.976E-06  -1.727E+00
    f19   -3.663E-06  4.366E-07  -9.727E-01  -3.462E-06  6.377E-07  -8.082E-01
   ne20    5.110E-05  1.334E-02   1.642E-03   6.194E-05  1.335E-02   1.994E-03
   ne21   -3.194E-05  1.960E-06  -1.238E+00  -3.053E-05  3.376E-06  -1.002E+00
   ne22    5.183E-04  1.586E-03   1.719E-01   5.579E-04  1.625E-03   1.826E-01
   na23    1.882E-04  4.803E-04   2.159E-01   1.908E-04  4.829E-04   2.183E-01
   mg24   -1.822E-03  2.461E-03  -2.406E-01  -1.817E-03  2.467E-03  -2.397E-01
   mg25    2.064E-03  2.629E-03   6.679E-01   2.202E-03  2.767E-03   6.901E-01
   mg26    7.122E-04  1.359E-03   3.225E-01   1.067E-03  1.714E-03   4.233E-01
   al26    2.197E-05  2.197E-05   0.000E+00   2.190E-05  2.190E-05   0.000E+00
   al27    1.629E-05  4.899E-04   1.466E-02   2.182E-05  4.954E-04   1.954E-02
   si28    3.297E-05  5.479E-03   2.596E-03   4.313E-05  5.489E-03   3.401E-03
   si29    9.932E-06  2.955E-04   1.482E-02   1.448E-05  3.000E-04   2.145E-02
   si30    1.982E-05  2.159E-04   4.180E-02   2.955E-05  2.256E-04   6.093E-02
    p31    4.055E-06  5.597E-05   3.264E-02   6.137E-06  5.805E-05   4.850E-02
    s32   -1.178E-05  3.851E-03  -1.352E-03  -1.718E-05  3.845E-03  -1.962E-03
    s33    1.765E-07  3.162E-05   2.405E-03   2.440E-07  3.169E-05   3.331E-03
    s34   -9.062E-06  1.564E-03  -2.535E-03  -1.246E-05  1.560E-03  -3.480E-03
    s35    1.007E-05  1.007E-05   0.000E+00   1.392E-05  1.392E-05   0.000E+00
   fe54   -5.546E-06  5.832E-04  -4.136E-03  -6.976E-06  5.818E-04  -5.202E-03
   fe55    1.718E-06  1.718E-06   0.000E+00   1.714E-06  1.714E-06   0.000E+00
   fe56   -5.817E-05  9.591E-03  -2.651E-03  -8.080E-05  9.569E-03  -3.677E-03
   fe57    3.576E-06  2.392E-04   6.516E-03   3.348E-06  2.390E-04   6.102E-03
   fe58    1.584E-05  4.635E-05   1.815E-01   1.947E-05  4.998E-05   2.143E-01
   fe60    1.840E-05  1.840E-05   0.000E+00   2.845E-05  2.845E-05   0.000E+00
   co59    7.989E-06  3.715E-05   1.051E-01   1.023E-05  3.939E-05   1.305E-01
   ni58   -3.290E-06  4.151E-04  -3.453E-03  -4.308E-06  4.141E-04  -4.520E-03
   ni60    1.251E-06  1.667E-04   3.246E-03   8.639E-07  1.663E-04   2.236E-03
   ni61    4.556E-05  5.285E-05   8.607E-01   5.645E-05  6.373E-05   9.420E-01
   ni62   -2.337E-05  1.483E-07  -2.200E+00  -2.337E-05  1.483E-07  -2.200E+00
      g    2.602E-06  3.030E-06   8.505E-01   3.837E-06  4.264E-06   9.989E-01
		           6.5M Z=0.008 VW-M
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -8.341E-01  3.205E+00  -1.005E-01  -8.427E-01  3.197E+00  -1.016E-01
    he3    4.334E-06  4.334E-06   0.000E+00   4.334E-06  4.334E-06   0.000E+00
    he4    6.709E-01  2.096E+00   1.675E-01   6.750E-01  2.100E+00   1.684E-01
    li7   -2.341E-08  1.848E-10  -2.106E+00  -2.341E-08  1.848E-10  -2.106E+00
    c12   -2.363E-03  5.472E-03  -1.559E-01   1.548E-03  9.383E-03   7.826E-02
    c13    1.370E-03  1.461E-03   1.208E+00   1.366E-03  1.456E-03   1.207E+00
    n14    1.605E-01  1.629E-01   1.831E+00   1.601E-01  1.625E-01   1.830E+00
    n15   -4.769E-06  4.370E-06  -3.205E-01  -4.779E-06  4.359E-06  -3.215E-01
    o16   -1.155E-02  1.028E-02  -3.272E-01  -1.143E-02  1.039E-02  -3.223E-01
    o17    2.481E-05  3.335E-05   5.916E-01   2.472E-05  3.326E-05   5.905E-01
    o18   -4.651E-05  1.082E-06  -1.643E+00  -4.651E-05  1.082E-06  -1.643E+00
    f19   -6.671E-07  5.627E-07  -3.396E-01  -2.239E-07  1.006E-06  -8.731E-02
   ne20    2.012E-04  4.188E-03   2.136E-02   2.125E-04  4.200E-03   2.253E-02
   ne21   -9.465E-06  7.115E-07  -1.155E+00  -7.651E-06  2.526E-06  -6.052E-01
   ne22    7.167E-03  7.488E-03   1.369E+00   7.435E-03  7.755E-03   1.384E+00
   na23    1.611E-04  2.488E-04   4.529E-01   1.703E-04  2.580E-04   4.686E-01
