#			    6.5M Z=0.008 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact
    he3    1.119E-05  1.119E-05   0.000E+00   1.119E-05  1.119E-05   0.000E+00
    he4    6.098E-01  2.384E+00   1.283E-01   6.128E-01  2.387E+00   1.289E-01
    li7    3.210E-08  6.147E-08   3.207E-01   3.210E-08  6.147E-08   3.208E-01
    c12   -5.169E-03  4.585E-03  -3.279E-01  -1.689E-03  8.064E-03  -8.260E-02
    c13    5.132E-04  6.259E-04   7.446E-01   5.109E-04  6.235E-04   7.430E-01
    n14    2.537E-02  2.836E-02   9.765E-01   2.530E-02  2.829E-02   9.756E-01
    n15   -9.606E-06  1.770E-06  -8.080E-01  -9.606E-06  1.768E-06  -8.084E-01
    o16   -7.248E-03  1.992E-02  -1.348E-01  -7.102E-03  2.007E-02  -1.316E-01
    o17    9.866E-05  1.093E-04   1.012E+00   9.851E-05  1.091E-04   1.011E+00
    o18   -5.754E-05  1.709E-06  -1.540E+00  -5.753E-05  1.709E-06  -1.540E+00
    f19   -1.294E-06  2.370E-07  -8.102E-01  -1.227E-06  3.032E-07  -7.032E-01
   ne20    2.950E-05  4.993E-03   2.549E-03   3.796E-05  5.000E-03   3.284E-03
   ne21   -1.162E-05  1.047E-06  -1.083E+00  -1.112E-05  1.546E-06  -9.134E-01
   ne22    2.351E-04  6.339E-04   2.013E-01   2.542E-04  6.528E-04   2.142E-01
   na23    5.483E-05  1.640E-04   1.767E-01   5.622E-05  1.654E-04   1.804E-01
   mg24   -1.005E-03  5.953E-04  -4.294E-01  -1.002E-03  5.982E-04  -4.273E-01
   mg25    1.083E-03  1.294E-03   7.877E-01   1.131E-03  1.342E-03   8.033E-01
   mg26    2.444E-04  4.860E-04   3.036E-01   3.852E-04  6.267E-04   4.140E-01
   al26    1.789E-05  1.789E-05   0.000E+00   1.784E-05  1.784E-05   0.000E+00
   al27    9.360E-06  1.862E-04   2.237E-02   1.131E-05  1.882E-04   2.688E-02
   si28    1.358E-05  2.047E-03   2.865E-03   1.675E-05  2.050E-03   3.539E-03
   si29    3.160E-06  1.098E-04   1.265E-02   4.503E-06  1.112E-04   1.793E-02
   si30    6.349E-06  7.961E-05   3.607E-02   9.460E-06  8.270E-05   5.273E-02
    p31    1.395E-06  2.079E-05   3.014E-02   2.184E-06  2.158E-05   4.632E-02
    s32   -3.577E-06  1.440E-03  -1.103E-03  -5.010E-06  1.438E-03  -1.536E-03
    s33    5.452E-08  1.180E-05   1.986E-03   7.056E-08  1.182E-05   2.576E-03
    s34   -2.768E-06  5.848E-04  -2.077E-03  -3.619E-06  5.838E-04  -2.709E-03
    s35    3.079E-06  3.079E-06   0.000E+00   4.064E-06  4.064E-06   0.000E+00
   fe54   -1.809E-06  2.181E-04  -3.612E-03  -2.155E-06  2.177E-04  -4.303E-03
   fe55    6.846E-07  6.846E-07   0.000E+00   6.834E-07  6.834E-07   0.000E+00
   fe56   -1.730E-05  3.589E-03  -2.115E-03  -2.290E-05  3.582E-03  -2.792E-03
   fe57    1.305E-06  8.933E-05   6.367E-03   1.205E-06  8.921E-05   5.879E-03
   fe58    4.456E-06  1.586E-05   1.432E-01   4.976E-06  1.638E-05   1.573E-01
   fe60    5.340E-06  5.340E-06   0.000E+00   7.698E-06  7.698E-06   0.000E+00
   co59    2.198E-06  1.309E-05   7.979E-02   2.559E-06  1.345E-05   9.160E-02
   ni58   -1.036E-06  1.553E-04  -2.915E-03  -1.283E-06  1.550E-04  -3.605E-03
   ni60    3.202E-07  6.216E-05   2.217E-03   2.296E-07  6.206E-05   1.584E-03
   ni61    1.580E-05  1.852E-05   8.328E-01   1.932E-05  2.204E-05   9.084E-01
   ni62   -8.721E-06  6.690E-08  -2.118E+00  -8.720E-06  6.690E-08  -2.118E+00
      g    9.047E-07  1.064E-06   8.238E-01   1.407E-06  1.567E-06   9.917E-01
#			    8.5M Z=0.008 VW93 
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.843E-01  4.650E+00  -5.965E-02  -6.912E-01  4.644E+00  -6.029E-02
    he3    1.992E-05  1.992E-05   0.000E+00   1.992E-05  1.992E-05   0.000E+00
    he4    6.613E-01  2.543E+00   1.308E-01   6.640E-01  2.546E+00   1.312E-01
    li7    1.348E-07  1.659E-07   7.263E-01   1.348E-07  1.659E-07   7.263E-01
