                          6.5M Z=0.001 B95
 Species   Yield       MassExp     ProdFact    E-Yield   E-MassExp  E-ProdFact
   si30    2.096E-07  8.038E-06   1.145E-02   2.220E-07  8.050E-06   1.212E-02
    p31    6.430E-08  2.138E-06   1.324E-02   6.788E-08  2.141E-06   1.396E-02
    s32   -1.048E-07  1.541E-04  -3.213E-04  -1.101E-07  1.541E-04  -3.362E-04
    s33    3.716E-09  1.259E-06   1.257E-03   3.754E-09  1.259E-06   1.271E-03
    s34   -1.288E-07  6.266E-05  -9.182E-04  -1.322E-07  6.265E-05  -9.413E-04
    s35    1.396E-07  1.396E-07   0.000E+00   1.435E-07  1.435E-07   0.000E+00
   fe54   -1.377E-07  2.336E-05  -2.579E-03  -1.391E-07  2.336E-05  -2.605E-03
   fe55    9.329E-08  9.329E-08   0.000E+00   9.328E-08  9.328E-08   0.000E+00
   fe56   -6.965E-07  3.847E-04  -8.117E-04  -7.186E-07  3.847E-04  -8.366E-04
   fe57    1.710E-07  9.578E-06   7.800E-03   1.708E-07  9.577E-06   7.787E-03
   fe58    2.244E-07  1.443E-06   7.339E-02   2.272E-07  1.446E-06   7.425E-02
   fe60    1.133E-07  1.133E-07   0.000E+00   1.211E-07  1.211E-07   0.000E+00
   co59    9.390E-08  1.258E-06   3.366E-02   9.553E-08  1.260E-06   3.422E-02
   ni58   -6.216E-08  1.664E-05  -1.645E-03  -6.314E-08  1.664E-05  -1.671E-03
   ni60    4.762E-09  6.611E-06   2.869E-04   4.421E-09  6.610E-06   2.645E-04
   ni61    1.151E-06  1.441E-06   6.952E-01   1.165E-06  1.456E-06   6.994E-01
   ni62   -9.275E-07  1.131E-08  -1.919E+00  -9.275E-07  1.131E-08  -1.919E+00
      g    4.020E-08  5.726E-08   5.257E-01   4.280E-08  5.986E-08   5.450E-01
                             7.0M Z=0.001 B95 alpha=2.1 
 Species    Yield     MassExp      ProdFact   E-Yield    E-MassExp   E-ProdFac
      p   -5.954E-01  3.801E+00  -6.322E-02  -5.955E-01  3.801E+00  -6.324E-02
    he3    1.320E-06  1.320E-06   0.000E+00   1.320E-06  1.320E-06   0.000E+00
    he4    5.922E-01  2.053E+00   1.477E-01   5.923E-01  2.054E+00   1.477E-01
    li7   -2.370E-11  6.133E-09  -1.701E-03  -2.370E-11  6.133E-09  -1.701E-03
    c12   -3.590E-04  7.070E-04  -1.784E-01  -2.698E-04  7.962E-04  -1.268E-01
    c13    1.624E-04  1.744E-04   1.161E+00   1.623E-04  1.744E-04   1.161E+00
    n14    4.900E-03  5.227E-03   1.203E+00   4.899E-03  5.226E-03   1.203E+00
    n15   -6.752E-07  5.404E-07  -3.521E-01  -6.752E-07  5.403E-07  -3.521E-01
    o16   -1.587E-03  1.382E-03  -3.321E-01  -1.583E-03  1.387E-03  -3.307E-01
    o17    7.899E-06  9.036E-06   9.004E-01   7.899E-06  9.035E-06   9.004E-01
    o18   -6.241E-06  9.222E-08  -1.837E+00  -6.241E-06  9.222E-08  -1.837E+00
    f19   -1.484E-07  1.524E-08  -1.031E+00  -1.470E-07  1.663E-08  -9.931E-01
   ne20    9.701E-06  5.403E-04   7.843E-03   9.793E-06  5.404E-04   7.917E-03
   ne21   -1.315E-06  4.003E-08  -1.529E+00  -1.311E-06  4.399E-08  -1.489E+00
   ne22    2.050E-05  6.312E-05   1.705E-01   2.099E-05  6.361E-05   1.739E-01
   na23   -4.166E-06  7.503E-06  -1.918E-01  -4.157E-06  7.511E-06  -1.913E-01
   mg24   -1.626E-04  8.340E-06  -1.312E+00  -1.626E-04  8.346E-06  -1.312E+00
   mg25    1.548E-04  1.773E-04   8.954E-01   1.549E-04  1.775E-04   8.957E-01
   mg26    1.784E-06  2.761E-05   2.899E-02   2.195E-06  2.802E-05   3.540E-02
   al26    7.020E-06  7.020E-06   0.000E+00   7.019E-06  7.019E-06   0.000E+00
   al27    8.404E-06  2.731E-05   1.597E-01   8.408E-06  2.731E-05   1.598E-01
   si28    6.288E-06  2.237E-04   1.236E-02   6.299E-06  2.237E-04   1.238E-02
   si29    5.707E-08  1.146E-05   2.142E-03   6.047E-08  1.146E-05   2.271E-03
   si30    1.143E-07  7.944E-06   6.270E-03   1.216E-07  7.952E-06   6.666E-03
    p31    4.158E-08  2.116E-06   8.594E-03   4.366E-08  2.118E-06   9.021E-03
    s32   -6.253E-08  1.542E-04  -2.021E-04  -6.599E-08  1.542E-04  -2.119E-04
    s33    3.269E-09  1.259E-06   1.103E-03   3.289E-09  1.259E-06   1.110E-03
    s34   -9.873E-08  6.270E-05  -7.093E-04  -1.012E-07  6.270E-05  -7.263E-04
    s35    1.055E-07  1.055E-07   0.000E+00   1.083E-07  1.083E-07   0.000E+00
   fe54   -1.242E-07  2.338E-05  -2.327E-03  -1.253E-07  2.338E-05  -2.347E-03
   fe55    9.341E-08  9.341E-08   0.000E+00   9.341E-08  9.341E-08   0.000E+00
   fe56   -4.953E-07  3.850E-04  -5.844E-04  -5.115E-07  3.850E-04  -6.027E-04
   fe57    1.680E-07  9.577E-06   7.659E-03   1.680E-07  9.577E-06   7.659E-03
   fe58    1.756E-07  1.394E-06   5.843E-02   1.790E-07  1.398E-06   5.949E-02
   fe60    5.090E-08  5.090E-08   0.000E+00   5.524E-08  5.524E-08   0.000E+00
   co59    7.068E-08  1.235E-06   2.556E-02   7.227E-08  1.237E-06   2.612E-02
   ni58   -5.234E-08  1.666E-05  -1.388E-03  -5.309E-08  1.666E-05  -1.408E-03
   ni60    4.352E-10  6.608E-06   2.589E-06   3.201E-10  6.608E-06  -4.996E-06
   ni61    1.051E-06  1.342E-06   6.640E-01   1.061E-06  1.351E-06   6.671E-01
   ni62   -9.278E-07  1.130E-08  -1.920E+00  -9.278E-07  1.130E-08  -1.920E+00
      g    2.665E-08  4.372E-08   4.084E-01   2.812E-08  4.519E-08   4.228E-01
                           7.5M Z=0.001 B95  
Species    Yield      MassExp      ProdFact   E-Yield    E-MassExp   E-ProdFac 
      p   -6.671E-01  4.052E+00  -6.621E-02  -6.674E-01  4.052E+00  -6.624E-02
    he3    1.509E-05  1.509E-05   0.000E+00   1.509E-05  1.509E-05   0.000E+00
    he4    6.545E-01  2.223E+00   1.514E-01   6.546E-01  2.223E+00   1.514E-01
    li7    1.351E-07  1.417E-07   1.331E+00   1.351E-07  1.417E-07   1.331E+00
    c12    3.586E-04  1.503E-03   1.184E-01   5.420E-04  1.686E-03   1.684E-01
    c13    2.543E-04  2.672E-04   1.316E+00   2.542E-04  2.672E-04   1.315E+00
    n14    1.127E-02  1.162E-02   1.520E+00   1.126E-02  1.162E-02   1.520E+00
    n15    4.773E-07  1.782E-06   1.354E-01   4.772E-07  1.782E-06   1.353E-01
    o16    5.408E-04  3.729E-03   6.802E-02   5.526E-04  3.740E-03   6.940E-02
    o17    2.276E-05  2.398E-05   1.293E+00   2.276E-05  2.398E-05   1.293E+00
    o18   -6.556E-06  2.421E-07  -1.448E+00  -6.556E-06  2.421E-07  -1.448E+00
    f19   -1.467E-07  2.902E-08  -7.821E-01  -1.449E-07  3.077E-08  -7.566E-01
   ne20    1.638E-06  5.712E-04   1.221E-03   2.391E-06  5.719E-04   1.793E-03
   ne21   -1.319E-06  1.348E-07  -1.033E+00  -1.304E-06  1.497E-07  -9.873E-01
   ne22    4.756E-05  9.332E-05   3.095E-01   4.781E-05  9.356E-05   3.106E-01
   na23    1.544E-05  2.796E-05   3.488E-01   1.546E-05  2.798E-05   3.490E-01
   mg24   -1.460E-04  3.759E-05  -6.887E-01  -1.458E-04  3.769E-05  -6.875E-01
   mg25    1.504E-04  1.746E-04   8.579E-01   1.510E-04  1.752E-04   8.594E-01
   mg26    1.202E-05  3.974E-05   1.564E-01   1.407E-05  4.179E-05   1.782E-01
   al26    2.502E-06  2.502E-06   0.000E+00   2.501E-06  2.501E-06   0.000E+00
   al27    5.586E-06  2.588E-05   1.056E-01   5.618E-06  2.591E-05   1.061E-01
   si28    5.694E-06  2.390E-04   1.044E-02   5.725E-06  2.391E-04   1.050E-02
   si29    9.437E-08  1.234E-05   3.309E-03   1.039E-07  1.234E-05   3.645E-03
   si30    2.209E-07  8.626E-06   1.124E-02   2.414E-07  8.646E-06   1.227E-02
    p31    9.971E-08  2.326E-06   1.900E-02   1.058E-07  2.332E-06   2.013E-02
    s32   -1.124E-07  1.655E-04  -3.209E-04  -1.201E-07  1.655E-04  -3.413E-04
    s33    5.286E-09  1.353E-06   1.674E-03   5.377E-09  1.353E-06   1.703E-03
    s34   -1.323E-07  6.728E-05  -8.793E-04  -1.371E-07  6.728E-05  -9.099E-04
    s35    1.617E-07  1.617E-07   0.000E+00   1.674E-07  1.674E-07   0.000E+00
   fe54   -1.546E-07  2.508E-05  -2.696E-03  -1.566E-07  2.507E-05  -2.730E-03
   fe55    1.144E-07  1.144E-07   0.000E+00   1.144E-07  1.144E-07   0.000E+00
   fe56   -6.738E-07  4.131E-04  -7.338E-04  -7.052E-07  4.131E-04  -7.667E-04
   fe57    1.979E-07  1.030E-05   8.403E-03   1.974E-07  1.030E-05   8.380E-03
   fe58    1.532E-07  1.461E-06   4.807E-02   1.561E-07  1.464E-06   4.894E-02
   fe60    1.251E-07  1.251E-07   0.000E+00   1.364E-07  1.364E-07   0.000E+00
   co59    6.844E-08  1.318E-06   2.313E-02   7.034E-08  1.320E-06   2.375E-02
   ni58   -6.721E-08  1.787E-05  -1.656E-03  -6.859E-08  1.787E-05  -1.690E-03
   ni60   -6.864E-09  7.086E-06  -4.465E-04  -7.256E-09  7.085E-06  -4.706E-04
   ni61    1.261E-06  1.573E-06   7.022E-01   1.282E-06  1.595E-06   7.081E-01
   ni62   -9.962E-07  1.177E-08  -1.933E+00  -9.962E-07  1.177E-08  -1.933E+00
      g    7.656E-08  9.488E-08   7.141E-01   8.093E-08  9.925E-08   7.337E-01
                          6.5M Z=10-4 B95
 Species    Yield     MassExp     ProdFac     E-Yield    E-MassExp   E-ProdFac
      p   -5.629E-01  3.526E+00  -6.435E-02  -5.635E-01  3.526E+00  -6.441E-02
    he3    3.820E-07  3.820E-07   0.000E+00   3.820E-07  3.820E-07   0.000E+00
