#		            6.5M Z=0.004 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   fe54   -8.668E-07  1.008E-04  -3.744E-03  -1.020E-06  1.007E-04  -4.403E-03
   fe55    3.566E-07  3.566E-07   0.000E+00   3.561E-07  3.561E-07   0.000E+00
   fe56   -7.993E-06  1.659E-03  -2.113E-03  -1.047E-05  1.657E-03  -2.763E-03
   fe57    6.285E-07  4.133E-05   6.629E-03   5.793E-07  4.128E-05   6.112E-03
   fe58    1.859E-06  7.129E-06   1.311E-01   2.038E-06  7.309E-06   1.420E-01
   fe60    2.438E-06  2.438E-06   0.000E+00   3.424E-06  3.424E-06   0.000E+00
   co59    9.190E-07  5.955E-06   7.276E-02   1.048E-06  6.084E-06   8.206E-02
   ni58   -4.816E-07  7.180E-05  -2.929E-03  -5.904E-07  7.169E-05  -3.588E-03
   ni60    1.162E-07  2.870E-05   1.736E-03   9.163E-08  2.868E-05   1.364E-03
   ni61    7.625E-06  8.884E-06   8.487E-01   9.348E-06  1.061E-05   9.257E-01
   ni62   -4.036E-06  2.605E-08  -2.193E+00  -4.036E-06  2.605E-08  -2.193E+00
      g    5.036E-07  5.774E-07   8.933E-01   7.951E-07  8.689E-07   1.071E+00
#		            8.0M Z=0.004 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.849E-01  4.344E+00  -6.361E-02  -6.943E-01  4.335E+00  -6.455E-02
    he3    1.579E-05  1.579E-05   0.000E+00   1.579E-05  1.579E-05   0.000E+00
    he4    6.644E-01  2.380E+00   1.422E-01   6.685E-01  2.384E+00   1.429E-01
    li7    1.234E-07  1.379E-07   9.782E-01   1.234E-07  1.379E-07   9.782E-01
    c12   -2.674E-03  2.204E-03  -3.451E-01   2.264E-03  7.142E-03   1.656E-01
    c13    4.559E-04  5.115E-04   9.636E-01   4.544E-04  5.101E-04   9.624E-01
    n14    2.434E-02  2.583E-02   1.237E+00   2.426E-02  2.576E-02   1.236E+00
    n15   -2.177E-06  3.439E-06  -2.130E-01  -2.181E-06  3.435E-06  -2.136E-01
    o16   -2.138E-03  1.145E-02  -7.437E-02  -1.891E-03  1.170E-02  -6.511E-02
    o17    6.657E-05  7.182E-05   1.136E+00   6.643E-05  7.167E-05   1.135E+00
    o18   -2.791E-05  1.347E-06  -1.337E+00  -2.791E-05  1.347E-06  -1.337E+00
    f19   -6.596E-07  9.658E-08  -8.937E-01  -6.017E-07  1.544E-07  -6.899E-01
   ne20    3.595E-05  2.487E-03   6.297E-03   5.131E-05  2.503E-03   8.971E-03
   ne21   -5.787E-06  4.673E-07  -1.127E+00  -5.394E-06  8.599E-07  -8.617E-01
   ne22    2.259E-04  4.227E-04   3.320E-01   2.394E-04  4.362E-04   3.457E-01
   na23    2.031E-05  7.422E-05   1.389E-01   2.136E-05  7.526E-05   1.449E-01
   mg24   -6.446E-04  1.454E-04  -7.350E-01  -6.410E-04  1.490E-04  -7.245E-01
   mg25    6.864E-04  7.906E-04   8.801E-01   7.196E-04  8.238E-04   8.980E-01
   mg26    1.322E-04  2.515E-04   3.239E-01   2.333E-04  3.526E-04   4.707E-01
   al26    1.248E-05  1.248E-05   0.000E+00   1.243E-05  1.243E-05   0.000E+00
