			   8.5M Z=0.02 B95	
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   si30    2.487E-05  2.209E-04   5.183E-02   3.573E-05  2.318E-04   7.268E-02
    p31    5.150E-06  5.707E-05   4.105E-02   7.467E-06  5.938E-05   5.833E-02
    s32   -1.442E-05  3.848E-03  -1.650E-03  -2.046E-05  3.842E-03  -2.332E-03
    s33    1.970E-07  3.165E-05   2.687E-03   2.547E-07  3.170E-05   3.477E-03
    s34   -1.085E-05  1.562E-03  -3.033E-03  -1.483E-05  1.558E-03  -4.139E-03
    s35    1.202E-05  1.202E-05   0.000E+00   1.650E-05  1.650E-05   0.000E+00
   fe54   -6.236E-06  5.825E-04  -4.650E-03  -7.959E-06  5.808E-04  -5.937E-03
   fe55    1.710E-06  1.710E-06   0.000E+00   1.706E-06  1.706E-06   0.000E+00
   fe56   -6.968E-05  9.580E-03  -3.173E-03  -9.639E-05  9.553E-03  -4.385E-03
   fe57    3.336E-06  2.390E-04   6.080E-03   3.277E-06  2.389E-04   5.972E-03
   fe58    1.757E-05  4.808E-05   1.975E-01   2.317E-05  5.368E-05   2.453E-01
   fe60    2.346E-05  2.346E-05   0.000E+00   3.392E-05  3.392E-05   0.000E+00
   co59    9.229E-06  3.839E-05   1.194E-01   1.252E-05  4.168E-05   1.551E-01
   ni58   -3.809E-06  4.146E-04  -3.997E-03  -5.037E-06  4.134E-04  -5.285E-03
   ni60    1.526E-06  1.670E-04   3.961E-03   1.294E-06  1.668E-04   3.359E-03
   ni61    5.098E-05  5.826E-05   9.031E-01   6.296E-05  7.024E-05   9.843E-01
   ni62   -2.328E-05  2.437E-07  -1.985E+00  -2.328E-05  2.437E-07  -1.985E+00
      g    3.193E-06  3.620E-06   9.278E-01   4.640E-06  5.068E-06   1.074E+00
		           8.5M Z=0.02 R75
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -7.590E-01  4.409E+00  -6.901E-02  -7.942E-01  4.373E+00  -7.250E-02
    he3    8.734E-06  8.734E-06   0.000E+00   8.733E-06  8.733E-06   0.000E+00
    he4    7.067E-01  2.722E+00   1.305E-01   7.192E-01  2.735E+00   1.325E-01
    li7   -4.141E-08  3.710E-08  -3.256E-01  -4.141E-08  3.710E-08  -3.256E-01
    c12   -1.318E-02  1.187E-02  -3.244E-01   6.791E-03  3.185E-02   1.041E-01
    c13    1.769E-03  2.070E-03   8.373E-01   1.739E-03  2.040E-03   8.310E-01
    n14    7.881E-02  8.650E-02   1.051E+00   7.792E-02  8.561E-02   1.047E+00
    n15   -2.610E-05  4.299E-06  -8.495E-01  -2.612E-05  4.279E-06  -8.515E-01
    o16   -1.985E-02  4.996E-02  -1.453E-01  -1.895E-02  5.086E-02  -1.376E-01
    o17    2.164E-04  2.448E-04   9.353E-01   2.147E-04  2.432E-04   9.324E-01
    o18   -1.518E-04  6.537E-06  -1.384E+00  -1.518E-04  6.537E-06  -1.384E+00
    f19   -3.341E-06  7.525E-07  -7.356E-01  -2.719E-06  1.374E-06  -4.742E-01
   ne20    1.446E-04  1.341E-02   4.682E-03   2.158E-04  1.348E-02   6.982E-03
   ne21   -2.963E-05  4.222E-06  -9.040E-01  -2.418E-05  9.665E-06  -5.444E-01
   ne22    8.113E-04  1.877E-03   2.459E-01   9.142E-04  1.980E-03   2.690E-01
   na23    1.359E-04  4.275E-04   1.661E-01   1.491E-04  4.408E-04   1.793E-01
   mg24   -2.473E-03  1.804E-03  -3.750E-01  -2.430E-03  1.846E-03  -3.649E-01
   mg25    3.384E-03  3.947E-03   8.451E-01   3.987E-03  4.551E-03   9.069E-01
   mg26    2.460E-03  3.106E-03   6.821E-01   4.211E-03  4.857E-03   8.763E-01
   al26    5.057E-05  5.057E-05   0.000E+00   5.002E-05  5.002E-05   0.000E+00
   al27    5.766E-05  5.305E-04   4.995E-02   9.258E-05  5.654E-04   7.764E-02
   si28    9.487E-05  5.532E-03   7.488E-03   1.488E-04  5.586E-03   1.170E-02
   si29    3.274E-05  3.178E-04   4.719E-02   5.184E-05  3.369E-04   7.254E-02
   si30    6.712E-05  2.629E-04   1.280E-01   1.060E-04  3.018E-04   1.880E-01
    p31    1.464E-05  6.647E-05   1.080E-01   2.392E-05  7.575E-05   1.648E-01
    s32   -3.587E-05  3.820E-03  -4.084E-03  -5.412E-05  3.802E-03  -6.163E-03
    s33    4.272E-07  3.182E-05   5.845E-03   6.995E-07  3.210E-05   9.544E-03
    s34   -2.456E-05  1.546E-03  -6.873E-03  -3.572E-05  1.534E-03  -1.002E-02
    s35    2.762E-05  2.762E-05   0.000E+00   4.048E-05  4.048E-05   0.000E+00
   fe54   -1.207E-05  5.757E-04  -9.036E-03  -1.671E-05  5.711E-04  -1.255E-02
   fe55    1.699E-06  1.699E-06   0.000E+00   1.685E-06  1.685E-06   0.000E+00
   fe56   -1.612E-04  9.473E-03  -7.355E-03  -2.353E-04  9.399E-03  -1.076E-02
   fe57    2.644E-06  2.379E-04   4.829E-03   1.663E-06  2.369E-04   3.034E-03
   fe58    3.308E-05  6.355E-05   3.193E-01   4.286E-05  7.333E-05   3.814E-01
   fe60    5.900E-05  5.900E-05   0.000E+00   9.002E-05  9.002E-05   0.000E+00
   co59    1.866E-05  4.777E-05   2.151E-01   2.532E-05  5.443E-05   2.717E-01
   ni58   -7.942E-06  4.098E-04  -8.362E-03  -1.125E-05  4.065E-04  -1.188E-02
   ni60    4.209E-06  1.694E-04   1.090E-02   3.450E-06  1.686E-04   8.952E-03
   ni61    9.741E-05  1.047E-04   1.158E+00   1.388E-04  1.461E-04   1.303E+00
   ni62   -2.329E-05  1.888E-07  -2.095E+00  -2.329E-05  1.888E-07  -2.095E+00
      g    8.794E-06  9.220E-06   1.335E+00   1.499E-05  1.542E-05   1.558E+00
			   8.5M Z=0.02 VW93 a1.5
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.890E-01  4.493E+00  -6.198E-02  -6.964E-01  4.486E+00  -6.270E-02
    he3    1.192E-05  1.192E-05   0.000E+00   1.192E-05  1.192E-05   0.000E+00
    he4    6.774E-01  2.699E+00   1.255E-01   6.806E-01  2.702E+00   1.260E-01
    li7    2.075E-10  7.894E-08   1.118E-03   2.066E-10  7.893E-08   1.113E-03
    c12   -2.190E-02  3.230E-03  -8.910E-01  -1.806E-02  7.076E-03  -5.504E-01
    c13    4.985E-04  8.004E-04   4.234E-01   4.967E-04  7.985E-04   4.224E-01
    n14    5.144E-02  5.915E-02   8.848E-01   5.131E-02  5.903E-02   8.839E-01
    n15   -2.373E-05  6.760E-06  -6.542E-01  -2.373E-05  6.753E-06  -6.546E-01
    o16   -1.973E-02  5.028E-02  -1.438E-01  -1.961E-02  5.040E-02  -1.428E-01
    o17    2.722E-04  3.007E-04   1.023E+00   2.718E-04  3.003E-04   1.023E+00
    o18   -1.556E-04  3.144E-06  -1.703E+00  -1.556E-04  3.144E-06  -1.703E+00
    f19   -3.570E-06  5.353E-07  -8.847E-01  -3.298E-06  8.072E-07  -7.063E-01
   ne20    8.991E-05  1.339E-02   2.900E-03   9.523E-05  1.340E-02   3.073E-03
   ne21   -3.167E-05  2.273E-06  -1.174E+00  -3.080E-05  3.149E-06  -1.033E+00
   ne22    4.758E-04  1.544E-03   1.599E-01   5.327E-04  1.601E-03   1.757E-01
   na23    1.148E-04  4.073E-04   1.438E-01   1.165E-04  4.090E-04   1.455E-01
   mg24   -2.653E-03  1.636E-03  -4.187E-01  -2.649E-03  1.639E-03  -4.177E-01
   mg25    2.745E-03  3.310E-03   7.675E-01   2.821E-03  3.386E-03   7.773E-01
   mg26    3.311E-04  9.786E-04   1.793E-01   5.270E-04  1.175E-03   2.586E-01
   al26    4.651E-05  4.651E-05   0.000E+00   4.637E-05  4.637E-05   0.000E+00
   al27    1.692E-05  4.911E-04   1.520E-02   1.902E-05  4.932E-04   1.705E-02
   si28    2.582E-05  5.478E-03   2.027E-03   3.306E-05  5.485E-03   2.600E-03
   si29    4.571E-06  2.904E-04   6.864E-03   7.378E-06  2.932E-04   1.104E-02
   si30    8.797E-06  2.051E-04   1.901E-02   1.435E-05  2.107E-04   3.062E-02
    p31    1.760E-06  5.374E-05   1.444E-02   2.889E-06  5.487E-05   2.346E-02
    s32   -5.495E-06  3.862E-03  -6.428E-04  -8.699E-06  3.858E-03  -1.003E-03
    s33    1.090E-07  3.160E-05   1.475E-03   1.358E-07  3.162E-05   1.843E-03
    s34   -4.937E-06  1.570E-03  -1.389E-03  -7.133E-06  1.567E-03  -1.997E-03
    s35    5.350E-06  5.350E-06   0.000E+00   7.808E-06  7.808E-06   0.000E+00
   fe54   -3.705E-06  5.858E-04  -2.764E-03  -4.673E-06  5.848E-04  -3.482E-03
   fe55    1.728E-06  1.728E-06   0.000E+00   1.725E-06  1.725E-06   0.000E+00
   fe56   -3.007E-05  9.631E-03  -1.379E-03  -4.487E-05  9.617E-03  -2.047E-03
   fe57    3.563E-06  2.395E-04   6.484E-03   3.602E-06  2.395E-04   6.555E-03
   fe58    9.692E-06  4.024E-05   1.196E-01   1.324E-05  4.379E-05   1.563E-01
   fe60    7.509E-06  7.509E-06   0.000E+00   1.298E-05  1.298E-05   0.000E+00
   co59    4.433E-06  3.363E-05   6.136E-02   6.372E-06  3.557E-05   8.571E-02
   ni58   -1.988E-06  4.169E-04  -2.091E-03  -2.678E-06  4.163E-04  -2.811E-03
   ni60    6.082E-07  1.663E-04   1.566E-03   6.430E-07  1.663E-04   1.657E-03
   ni61    3.323E-05  4.052E-05   7.449E-01   3.945E-05  4.674E-05   8.069E-01
   ni62   -2.340E-05  1.483E-07  -2.201E+00  -2.340E-05  1.483E-07  -2.201E+00
      g    1.261E-06  1.689E-06   5.962E-01   1.877E-06  2.305E-06   7.313E-01
			   8.5M Z=0.02 VW93 a2
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.892E-01  4.494E+00  -6.199E-02  -6.931E-01  4.490E+00  -6.237E-02
    he3    9.914E-06  9.914E-06   0.000E+00   9.914E-06  9.914E-06   0.000E+00
    he4    6.810E-01  2.703E+00   1.261E-01   6.827E-01  2.704E+00   1.263E-01
    li7   -3.133E-08  4.741E-08  -2.203E-01  -3.133E-08  4.741E-08  -2.203E-01
    c12   -2.244E-02  2.700E-03  -9.690E-01  -2.039E-02  4.744E-03  -7.242E-01
    c13    3.896E-04  6.915E-04   3.599E-01   3.888E-04  6.907E-04   3.594E-01
    n14    5.137E-02  5.908E-02   8.842E-01   5.130E-02  5.901E-02   8.837E-01
    n15   -1.972E-05  1.077E-05  -4.520E-01  -1.973E-05  1.076E-05  -4.523E-01
    o16   -2.229E-02  4.773E-02  -1.664E-01  -2.222E-02  4.780E-02  -1.658E-01
    o17    2.773E-04  3.058E-04   1.031E+00   2.771E-04  3.056E-04   1.030E+00
    o18   -1.558E-04  2.994E-06  -1.725E+00  -1.558E-04  2.994E-06  -1.725E+00
    f19   -3.693E-06  4.127E-07  -9.977E-01  -3.527E-06  5.788E-07  -8.508E-01
   ne20    1.329E-04  1.344E-02   4.292E-03   1.353E-04  1.344E-02   4.369E-03
   ne21   -3.212E-05  1.829E-06  -1.269E+00  -3.172E-05  2.227E-06  -1.183E+00
   ne22    4.550E-04  1.524E-03   1.540E-01   4.932E-04  1.562E-03   1.648E-01
   na23    4.498E-05  3.375E-04   6.209E-02   4.584E-05  3.384E-04   6.320E-02
   mg24   -3.097E-03  1.192E-03  -5.560E-01  -3.095E-03  1.194E-03  -5.553E-01
   mg25    3.126E-03  3.692E-03   8.147E-01   3.161E-03  3.726E-03   8.188E-01
   mg26    2.065E-04  8.542E-04   1.202E-01   2.943E-04  9.419E-04   1.626E-01
   al26    6.908E-05  6.908E-05   0.000E+00   6.896E-05  6.896E-05   0.000E+00
   al27    2.381E-05  4.980E-04   2.125E-02   2.451E-05  4.987E-04   2.186E-02
   si28    2.924E-05  5.482E-03   2.298E-03   3.305E-05  5.486E-03   2.599E-03
   si29    2.643E-06  2.886E-04   3.971E-03   4.018E-06  2.899E-04   6.035E-03
   si30    5.026E-06  2.014E-04   1.095E-02   7.660E-06  2.040E-04   1.660E-02
    p31    9.789E-07  5.297E-05   8.076E-03   1.507E-06  5.349E-05   1.238E-02
    s32   -3.194E-06  3.865E-03  -3.840E-04  -4.761E-06  3.863E-03  -5.602E-04
    s33    8.962E-08  3.158E-05   1.209E-03   1.042E-07  3.160E-05   1.409E-03
    s34   -3.355E-06  1.571E-03  -9.514E-04  -4.476E-06  1.570E-03  -1.261E-03
    s35    3.616E-06  3.616E-06   0.000E+00   4.866E-06  4.866E-06   0.000E+00
