# Initial abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.69404E-01
 he   2  11.219923  0.289923 -0.444600 -0.438726 3.75205E-01
 li   3   3.993917  0.733917 -0.000605  0.005268 3.86634E-08
 be   4   0.000000 -1.300000  0.000000  0.000000 0.00000E+00
  b   5   0.000000 -2.790000  0.000000  0.000000 0.00000E+00
  c   6   9.204515  0.734515 -0.000008  0.005866 1.08656E-02
  n   7   8.604527  0.734527  0.000004  0.005877 3.18296E-03
  o   8   9.458649  0.728649 -0.005874  0.000000 2.59837E-02
  f   9   5.194516  0.774516  0.039993  0.045866 1.67952E-06
 ne  10   8.704520  0.734520 -0.000002  0.005871 5.77301E-03
 na  11   7.044536  0.734536  0.000013  0.005887 1.43891E-04
 mg  12   8.374519  0.734519 -0.000003  0.005870 3.25218E-03
 al  13   7.204525  0.734525  0.000002  0.005876 2.44095E-04
 si  14   8.284525  0.734525  0.000002  0.005876 3.05475E-03
  p  15   6.204525  0.734525  0.000002  0.005876 2.80209E-05
  s  16   7.894436  0.734436 -0.000087  0.005787 1.42046E-03
 fe  26   8.274523  0.734523  0.000000  0.005874 5.93563E-03
 co  27   5.604521  0.734521 -0.000002  0.005872 1.33918E-05
 ni  28   6.930487  0.730487 -0.004035  0.001838 2.82510E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  5.5702E-01, c12/c13 = 8.93984E+01
# N/O =  1.3992E-01, n14/n15 = 4.34988E+02
# o16/o17 = 2.63212E+03, o16/o18 = 5.00000E+02
# mg24/mg25 =  7.8990E+00, mg24/mg26 =  7.1744E+00 al26/al27 =  0.0000E+00
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
# During TP-AGB
#  TP   Mass     Mcore    Menv    log L
#  1 1.960883 0.620777 1.340106 3.816750
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.63736E-01
 he   2  11.230118  0.300117 -0.434405 -0.428532 3.80293E-01
 li   3   3.413159  0.153159 -0.581363 -0.575490 1.00507E-08
 be   4  -4.394220 -5.694221  0.000000  0.000000 2.03337E-16
  b   5   0.000000 -2.790000  0.000000  0.000000 1.71661E-30
  c   6   9.044206  0.574205 -0.160317 -0.154444 7.43703E-03
  n   7   8.963021  1.093021  0.358499  0.364372 7.19418E-03
  o   8   9.462751  0.732752 -0.001771  0.000000 2.59692E-02
  f   9   5.196969  0.776969  0.042446  0.044217 1.67221E-06
 ne  10   8.707561  0.737561  0.003038  0.004809 5.75568E-03
 na  11   7.104796  0.794796  0.060274  0.062045 1.63663E-04
 mg  12   8.378866  0.738866  0.004344  0.006114 3.25220E-03
 al  13   7.208872  0.738873  0.004350  0.006121 2.44096E-04
 si  14   8.288872  0.738872  0.004349  0.006120 3.05476E-03
  p  15   6.208872  0.738872  0.004349  0.006120 2.80210E-05
  s  16   7.898784  0.738784  0.004261  0.006032 1.42046E-03
 fe  26   8.278870  0.738870  0.000000  0.006118 5.93566E-03
 co  27   5.608868  0.738868 -0.000001  0.006116 1.33919E-05
 ni  28   6.934834  0.734835 -0.004035  0.002083 2.82511E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.8146E-01, c12/c13 = 2.08761E+01
# N/O =  3.1642E-01, n14/n15 = 1.87823E+03
# o16/o17 = 4.71260E+02, o16/o18 = 6.68753E+02
# mg24/mg25 =  7.8991E+00, mg24/mg26 =  7.1743E+00 al26/al27 =  7.2945E-07
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
#  TP   Mass     Mcore    Menv    log L
#  2 1.953442 0.622445 1.330997 3.818105
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.63736E-01
 he   2  11.230118  0.300117 -0.438752 -0.432634 3.80293E-01
 li   3   3.412807  0.152807 -0.586062 -0.579944 1.00426E-08
 be   4  -4.365026 -5.665027  0.000000  0.000000 2.17475E-16
  b   5   0.000000 -2.790000  0.000000  0.000000 1.72327E-30
  c   6   9.044206  0.574205 -0.164664 -0.158546 7.43704E-03
  n   7   8.963020  1.093020  0.354151  0.360269 7.19417E-03
  o   8   9.462751  0.732752 -0.006118  0.000000 2.59692E-02
  f   9   5.196969  0.776969  0.038099  0.044217 1.67221E-06
 ne  10   8.707561  0.737561 -0.001309  0.004809 5.75568E-03
 na  11   7.104796  0.794796  0.055927  0.062045 1.63663E-04
 mg  12   8.378866  0.738866 -0.000003  0.006114 3.25220E-03
 al  13   7.208872  0.738873  0.000003  0.006121 2.44096E-04
 si  14   8.288872  0.738872  0.000002  0.006120 3.05476E-03
  p  15   6.208872  0.738872  0.000002  0.006120 2.80210E-05
  s  16   7.898784  0.738784 -0.000086  0.006032 1.42046E-03
 fe  26   8.278870  0.738870  0.000000  0.006118 5.93566E-03
 co  27   5.608868  0.738868 -0.000001  0.006116 1.33919E-05
 ni  28   6.934834  0.734835 -0.004035  0.002083 2.82511E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.8146E-01, c12/c13 = 2.08761E+01
# N/O =  3.1642E-01, n14/n15 = 1.87822E+03
# o16/o17 = 4.71260E+02, o16/o18 = 6.68753E+02
# mg24/mg25 =  7.8991E+00, mg24/mg26 =  7.1743E+00 al26/al27 =  7.1530E-07
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
#  TP   Mass     Mcore    Menv    log L
#  3 1.935064 0.624186 1.310878 3.834348
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.63736E-01
 he   2  11.230118  0.300117 -0.438752 -0.432634 3.80293E-01
 li   3   3.412526  0.152526 -0.586344 -0.580226 1.00360E-08
 be   4  -4.338696 -5.638696  0.000000  0.000000 2.31069E-16
  b   5   0.000000 -2.790000  0.000000  0.000000 1.72335E-30
  c   6   9.044207  0.574206 -0.164663 -0.158545 7.43704E-03
  n   7   8.963020  1.093020  0.354151  0.360269 7.19417E-03
  o   8   9.462751  0.732752 -0.006118  0.000000 2.59692E-02
  f   9   5.196969  0.776969  0.038099  0.044217 1.67221E-06
 ne  10   8.707561  0.737561 -0.001309  0.004809 5.75568E-03
 na  11   7.104796  0.794796  0.055927  0.062045 1.63663E-04
 mg  12   8.378866  0.738866 -0.000003  0.006114 3.25220E-03
 al  13   7.208872  0.738873  0.000003  0.006121 2.44096E-04
 si  14   8.288872  0.738872  0.000002  0.006120 3.05476E-03
  p  15   6.208872  0.738872  0.000002  0.006120 2.80210E-05
  s  16   7.898784  0.738784 -0.000086  0.006032 1.42046E-03
 fe  26   8.278870  0.738870  0.000000  0.006118 5.93566E-03
 co  27   5.608868  0.738868 -0.000001  0.006116 1.33919E-05
 ni  28   6.934834  0.734835 -0.004035  0.002083 2.82511E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.8147E-01, c12/c13 = 2.08761E+01
# N/O =  3.1642E-01, n14/n15 = 1.87822E+03
# o16/o17 = 4.71261E+02, o16/o18 = 6.68753E+02
# mg24/mg25 =  7.8991E+00, mg24/mg26 =  7.1743E+00 al26/al27 =  7.0139E-07
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
#  TP   Mass     Mcore    Menv    log L
#  4 1.872482 0.626042 1.246440 3.848552
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.63738E-01
 he   2  11.230115  0.300115 -0.438755 -0.432637 3.80292E-01
 li   3   3.412604  0.152604 -0.586265 -0.580148 1.00379E-08
 be   4  -4.292580 -5.592580  0.000000  0.000000 2.56955E-16
  b   5   0.000000 -2.790000  0.000000  0.000000 1.72856E-30
  c   6   9.044275  0.574275 -0.164595 -0.158477 7.43826E-03
  n   7   8.962933  1.092933  0.354063  0.360181 7.19275E-03
  o   8   9.462749  0.732750 -0.006120  0.000000 2.59692E-02
  f   9   5.196968  0.776968  0.038098  0.044218 1.67222E-06
 ne  10   8.707560  0.737560 -0.001310  0.004810 5.75568E-03
 na  11   7.104776  0.794776  0.055906  0.062026 1.63656E-04
 mg  12   8.378864  0.738864 -0.000005  0.006114 3.25220E-03
 al  13   7.208870  0.738871  0.000001  0.006121 2.44096E-04
 si  14   8.288871  0.738871  0.000001  0.006121 3.05476E-03
  p  15   6.208870  0.738871  0.000001  0.006121 2.80210E-05
  s  16   7.898782  0.738782 -0.000088  0.006032 1.42046E-03
 fe  26   8.278868  0.738868  0.000000  0.006118 5.93566E-03
 co  27   5.608866  0.738866 -0.000001  0.006116 1.33919E-05
 ni  28   6.934833  0.734833 -0.004035  0.002083 2.82511E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.8153E-01, c12/c13 = 2.08847E+01
# N/O =  3.1636E-01, n14/n15 = 1.87725E+03
# o16/o17 = 4.71400E+02, o16/o18 = 6.68673E+02
# mg24/mg25 =  7.8991E+00, mg24/mg26 =  7.1743E+00 al26/al27 =  6.8641E-07
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
#  TP   Mass     Mcore    Menv    log L
#  5 1.758026 0.628053 1.129973 3.863464
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.63742E-01
 he   2  11.230107  0.300107 -0.438761 -0.432643 3.80288E-01
 li   3   3.413078  0.153078 -0.585789 -0.579672 1.00489E-08
 be   4  -4.222961 -5.522962  0.000000  0.000000 3.01634E-16
  b   5   0.000000 -2.790000  0.000000  0.000000 1.75275E-30
  c   6   9.044410  0.574409 -0.164458 -0.158340 7.44061E-03
  n   7   8.962764  1.092764  0.353896  0.360014 7.18999E-03
  o   8   9.462747  0.732747 -0.006121  0.000000 2.59692E-02
  f   9   5.196967  0.776967  0.038099  0.044219 1.67222E-06
 ne  10   8.707557  0.737557 -0.001311  0.004810 5.75570E-03
 na  11   7.104737  0.794737  0.055869  0.061990 1.63642E-04
 mg  12   8.378861  0.738862 -0.000006  0.006114 3.25220E-03
 al  13   7.208868  0.738868  0.000000  0.006121 2.44096E-04
 si  14   8.288868  0.738868  0.000000  0.006121 3.05476E-03
  p  15   6.208867  0.738867  0.000000  0.006120 2.80210E-05
  s  16   7.898779  0.738779 -0.000089  0.006032 1.42046E-03
 fe  26   8.278865  0.738865  0.000000  0.006118 5.93566E-03
 co  27   5.608863  0.738863 -0.000001  0.006116 1.33919E-05
 ni  28   6.934830  0.734830 -0.004035  0.002083 2.82511E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.8165E-01, c12/c13 = 2.09014E+01
# N/O =  3.1624E-01, n14/n15 = 1.87536E+03
# o16/o17 = 4.71671E+02, o16/o18 = 6.68517E+02
# mg24/mg25 =  7.8991E+00, mg24/mg26 =  7.1743E+00 al26/al27 =  6.7069E-07
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
#  TP   Mass     Mcore    Menv    log L
#  6 1.599999 0.630202 0.969797 3.877026
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.63742E-01
 he   2  11.230107  0.300107 -0.438758 -0.432640 3.80288E-01
 li   3   3.412477  0.152477 -0.586388 -0.580271 1.00350E-08
 be   4  -1.761540 -3.061540  0.000000  0.000000 8.72770E-14
  b   5   0.000000 -2.790000  0.000000  0.000000 3.20989E-30
  c   6   9.044410  0.574409 -0.164455 -0.158338 7.44061E-03
  n   7   8.962764  1.092764  0.353899  0.360017 7.18999E-03
  o   8   9.462747  0.732747 -0.006118  0.000000 2.59692E-02
  f   9   5.196967  0.776967  0.038102  0.044219 1.67222E-06
 ne  10   8.707557  0.737557 -0.001308  0.004810 5.75570E-03
 na  11   7.104736  0.794736  0.055871  0.061989 1.63642E-04
 mg  12   8.378861  0.738862 -0.000003  0.006114 3.25220E-03
 al  13   7.208868  0.738868  0.000003  0.006121 2.44096E-04
 si  14   8.288868  0.738868  0.000003  0.006121 3.05476E-03
  p  15   6.208867  0.738867  0.000002  0.006120 2.80210E-05
  s  16   7.898779  0.738779 -0.000086  0.006032 1.42046E-03
 fe  26   8.278865  0.738865  0.000000  0.006118 5.93566E-03
 co  27   5.608863  0.738863 -0.000001  0.006116 1.33919E-05
 ni  28   6.934830  0.734830 -0.004035  0.002083 2.82511E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.8165E-01, c12/c13 = 2.09014E+01
# N/O =  3.1624E-01, n14/n15 = 1.87536E+03
# o16/o17 = 4.71671E+02, o16/o18 = 6.68517E+02
# mg24/mg25 =  7.8991E+00, mg24/mg26 =  7.1743E+00 al26/al27 =  6.5617E-07
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
#  TP   Mass     Mcore    Menv    log L
#  7 1.408947 0.632474 0.776473 3.888054
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.63742E-01
 he   2  11.230107  0.300107 -0.438758 -0.432640 3.80288E-01
 li   3   3.411614  0.151614 -0.587250 -0.581133 1.00151E-08
 be   4  -0.666712 -1.966712  0.000000  0.000000 1.08575E-12
  b   5   0.000000 -2.790000  0.000000  0.000000 1.94924E-29
  c   6   9.044411  0.574410 -0.164454 -0.158337 7.44062E-03
  n   7   8.962763  1.092763  0.353898  0.360016 7.18999E-03
  o   8   9.462747  0.732747 -0.006118  0.000000 2.59692E-02
  f   9   5.196967  0.776967  0.038102  0.044219 1.67222E-06
 ne  10   8.707557  0.737557 -0.001308  0.004810 5.75570E-03
 na  11   7.104736  0.794736  0.055871  0.061989 1.63642E-04
 mg  12   8.378861  0.738862 -0.000003  0.006114 3.25220E-03
 al  13   7.208868  0.738868  0.000003  0.006121 2.44096E-04
 si  14   8.288868  0.738868  0.000003  0.006121 3.05476E-03
  p  15   6.208867  0.738867  0.000002  0.006120 2.80210E-05
  s  16   7.898779  0.738779 -0.000086  0.006032 1.42046E-03
 fe  26   8.278865  0.738865  0.000000  0.006118 5.93566E-03
 co  27   5.608863  0.738863 -0.000001  0.006116 1.33919E-05
 ni  28   6.934830  0.734830 -0.004035  0.002083 2.82511E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.8165E-01, c12/c13 = 2.09014E+01
# N/O =  3.1624E-01, n14/n15 = 1.87539E+03
# o16/o17 = 4.71672E+02, o16/o18 = 6.68517E+02
# mg24/mg25 =  7.8991E+00, mg24/mg26 =  7.1743E+00 al26/al27 =  6.4167E-07
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
#  TP   Mass     Mcore    Menv    log L
#  8 1.189113 0.634906 0.554208 3.897793
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.63742E-01
 he   2  11.230107  0.300107 -0.438758 -0.432640 3.80288E-01
 li   3   3.410485  0.150485 -0.588380 -0.582262 9.98912E-09
 be   4   0.105527 -1.194473  0.000000  0.000000 6.42640E-12
  b   5   0.000000 -2.790000  0.000000  0.000000 6.57077E-29
  c   6   9.044411  0.574410 -0.164454 -0.158337 7.44062E-03
  n   7   8.962763  1.092763  0.353898  0.360016 7.18999E-03
  o   8   9.462747  0.732747 -0.006118  0.000000 2.59692E-02
  f   9   5.196967  0.776967  0.038102  0.044219 1.67222E-06
 ne  10   8.707557  0.737557 -0.001308  0.004810 5.75570E-03
 na  11   7.104736  0.794736  0.055871  0.061989 1.63642E-04
 mg  12   8.378861  0.738862 -0.000003  0.006114 3.25220E-03
 al  13   7.208868  0.738868  0.000003  0.006121 2.44096E-04
 si  14   8.288868  0.738868  0.000003  0.006121 3.05476E-03
