# Initial abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 4.75631E-01
 he   2  11.365472  0.435472 -0.553248 -0.547375 4.38195E-01
 li   3   4.248116  0.988116 -0.000604  0.005269 5.79893E-08
 be   4   0.000000 -1.300000  0.000000  0.000000 0.00000E+00
  b   5   0.000000 -2.790000  0.000000  0.000000 0.00000E+00
  c   6   9.458714  0.988713 -0.000007  0.005867 1.62968E-02
  n   7   8.858724  0.988724  0.000004  0.005877 4.77396E-03
  o   8   9.712846  0.982846 -0.005874  0.000000 3.89716E-02
  f   9   5.448714  1.028714  0.039994  0.045867 2.51902E-06
 ne  10   8.958718  0.988719 -0.000001  0.005872 8.65863E-03
 na  11   7.298733  0.988733  0.000013  0.005887 2.15815E-04
 mg  12   8.628716  0.988717 -0.000003  0.005870 4.87778E-03
 al  13   7.458723  0.988723  0.000003  0.005877 3.66106E-04
 si  14   8.538723  0.988723  0.000003  0.005877 4.58166E-03
  p  15   6.458723  0.988723  0.000003  0.005877 4.20271E-05
  s  16   8.148634  0.988634 -0.000086  0.005788 2.13047E-03
 fe  26   8.528720  0.988720  0.000000  0.005874 8.90255E-03
 co  27   5.858718  0.988719 -0.000001  0.005872 2.00857E-05
 ni  28   7.184685  0.984685 -0.004035  0.001839 4.23722E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  5.5702E-01, c12/c13 = 8.93984E+01
# N/O =  1.3992E-01, n14/n15 = 4.34989E+02
# o16/o17 = 2.63212E+03, o16/o18 = 5.00000E+02
# mg24/mg25 =  7.8990E+00, mg24/mg26 =  7.1744E+00 al26/al27 =  0.0000E+00
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
# During TP-AGB
#  TP   Mass     Mcore    Menv    log L
#  1 5.484373 0.985199 4.499174 4.586840
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 4.07781E-01
 he   2  11.493652  0.563652 -0.425068 -0.419194 5.04667E-01
 li   3  -0.264797 -3.524797 -4.513517 -4.507644 1.52613E-12
 be   4   4.030437  2.730437  0.000000  0.000000 3.91043E-08
  b   5   0.000000 -2.790000  0.000000  0.000000 7.70195E-21
  c   6   9.147474  0.677474 -0.311246 -0.305372 6.82370E-03
  n   7   9.568769  1.698770  0.710050  0.715923 2.09933E-02
  o   8   9.708548  0.978548 -0.010172  0.000000 3.30831E-02
  f   9   5.298157  0.878157 -0.110563 -0.100391 1.52697E-06
 ne  10   9.019929  1.049929  0.061209  0.071381 8.54707E-03
 na  11   7.569490  1.259490  0.270771  0.280942 3.45141E-04
 mg  12   8.694713  1.054713  0.065993  0.076165 4.86827E-03
 al  13   7.540322  1.070323  0.081603  0.091774 3.78759E-04
 si  14   8.605697  1.055696  0.066977  0.077148 4.58303E-03
  p  15   6.526391  1.056391  0.067671  0.077843 4.21071E-05
  s  16   8.215574  1.055574  0.066854  0.077026 2.13095E-03
 fe  26   8.595681  1.055681  0.000000  0.077133 8.90496E-03
 co  27   5.930848  1.060848  0.005167  0.082300 2.03317E-05
 ni  28   7.251417  1.051417 -0.004264  0.072869 4.23614E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  2.7474E-01, c12/c13 = 1.51919E+01
# N/O =  7.2481E-01, n14/n15 = 3.38888E+04
# o16/o17 = 5.39642E+02, o16/o18 = 1.01147E+03
# mg24/mg25 =  8.3007E+00, mg24/mg26 =  6.9033E+00 al26/al27 =  1.5349E-02
# si28/si29 =  1.9697E+01, si28/si30 =  2.9857E+01
# cl36/cl35 =  2.3275E-02, cl37/cl35 =  3.1276E-03
#
#  TP   Mass     Mcore    Menv    log L
#  2 5.452971 0.985625 4.467346 4.587124
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 4.07781E-01
 he   2  11.493653  0.563653 -0.492028 -0.414895 5.04668E-01
 li   3  -0.513169 -3.773169 -4.828851 -4.751718 8.61429E-13
 be   4   4.054018  2.754019  0.000000  0.000000 4.12863E-08
  b   5   0.000000 -2.790000  0.000000  0.000000 2.10742E-21
  c   6   9.147436  0.677436 -0.378245 -0.301112 6.82309E-03
  n   7   9.568789  1.698789  0.643107  0.720241 2.09942E-02
  o   8   9.708545  0.978545 -0.077136  0.000000 3.30829E-02
  f   9   5.298295  0.878295 -0.177386 -0.100250 1.52746E-06
 ne  10   9.019930  1.049930 -0.005751  0.071385 8.54707E-03
 na  11   7.569491  1.259491  0.203810  0.280946 3.45141E-04
 mg  12   8.694714  1.054714 -0.000968  0.076169 4.86828E-03
 al  13   7.540319  1.070320  0.014638  0.091774 3.78756E-04
 si  14   8.605697  1.055696  0.000015  0.077151 4.58303E-03
  p  15   6.526392  1.056392  0.000710  0.077847 4.21071E-05
  s  16   8.215574  1.055574 -0.000107  0.077029 2.13095E-03
 fe  26   8.595681  1.055681  0.000000  0.077136 8.90496E-03
 co  27   5.930849  1.060849  0.005167  0.082304 2.03317E-05
 ni  28   7.251418  1.051418 -0.004263  0.072873 4.23614E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  2.7472E-01, c12/c13 = 1.50726E+01
# N/O =  7.2484E-01, n14/n15 = 3.42778E+04
# o16/o17 = 5.39795E+02, o16/o18 = 1.01674E+03
# mg24/mg25 =  8.3007E+00, mg24/mg26 =  6.9033E+00 al26/al27 =  1.5340E-02
# si28/si29 =  1.9697E+01, si28/si30 =  2.9857E+01
# cl36/cl35 =  2.3275E-02, cl37/cl35 =  3.1276E-03
#
#  TP   Mass     Mcore    Menv    log L
#  3 5.421237 0.986055 4.435182 4.586624
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 4.07780E-01
 he   2  11.493654  0.563654 -0.492027 -0.414891 5.04668E-01
 li   3  -0.636242 -3.896242 -4.951923 -4.874787 6.48853E-13
 be   4   4.075156  2.775156  0.000000  0.000000 4.33454E-08
  b   5   0.000000 -2.790000  0.000000  0.000000 5.76784E-22
  c   6   9.147396  0.677396 -0.378285 -0.301149 6.82247E-03
  n   7   9.568809  1.698809  0.643127  0.720263 2.09952E-02
  o   8   9.708543  0.978543 -0.077138  0.000000 3.30827E-02
  f   9   5.298431  0.878431 -0.177250 -0.100112 1.52793E-06
 ne  10   9.019930  1.049930 -0.005751  0.071387 8.54707E-03
 na  11   7.569492  1.259492  0.203811  0.280949 3.45141E-04
 mg  12   8.694714  1.054714 -0.000968  0.076170 4.86828E-03
 al  13   7.540316  1.070316  0.014635  0.091773 3.78753E-04
 si  14   8.605698  1.055697  0.000016  0.077154 4.58303E-03
  p  15   6.526392  1.056392  0.000711  0.077849 4.21071E-05
  s  16   8.215575  1.055575 -0.000106  0.077032 2.13095E-03
 fe  26   8.595682  1.055682  0.000000  0.077139 8.90496E-03
 co  27   5.930849  1.060849  0.005167  0.082305 2.03317E-05
 ni  28   7.251418  1.051418 -0.004264  0.072875 4.23614E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  2.7470E-01, c12/c13 = 1.49568E+01
# N/O =  7.2488E-01, n14/n15 = 3.45882E+04
# o16/o17 = 5.39947E+02, o16/o18 = 1.02199E+03
# mg24/mg25 =  8.3007E+00, mg24/mg26 =  6.9033E+00 al26/al27 =  1.5331E-02
# si28/si29 =  1.9697E+01, si28/si30 =  2.9857E+01
# cl36/cl35 =  2.3275E-02, cl37/cl35 =  3.1276E-03
#
#  TP   Mass     Mcore    Menv    log L
#  4 5.389267 0.986489 4.402778 4.589414
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 4.07780E-01
 he   2  11.493654  0.563654 -0.492028 -0.414889 5.04668E-01
 li   3  -0.678362 -3.938362 -4.994044 -4.916905 5.88878E-13
